Sinif Adi                                    Vtable VA    Slots
-------------------------------------------- ----------   -----
CAPISocket                                   0x0100AE88   4
CGameCursor                                  0x0100FA70   52
CGameProcCharacterCreate                     0x0100FBB8   11
CGameProcDuelLobby                           0x0100FC00   11
CGameProcIntro                               0x010199F8   11
CGameProcIntroChrSelect                      0x01019F40   11
CGameProcLanguageSelect                      0x01019F84   11
CGameProcLogo                                0x01019FC4   11
CGameProcMain                                0x0101B8CC   11
CGameProcMalaysiaIntro                       0x0101B8FC   11
CGameProcMovie                               0x0101BCF8   11
CGameProcNationSelect                        0x0101BD44   11
CGameProcNotice                              0x0101BD74   11
CGameProcOption                              0x0101BDA4   11
CGameProcedure                               0x010197F4   11
CN3AnimControl                               0x01007270   8
CN3AnimatedTexures                           0x0100724C   8
CN3BaseFileAccess                            0x01007368   8
CN3Board                                     0x01007398   17
CN3CPart                                     0x010077B0   8
CN3CPartSkins                                0x010077D4   8
CN3CPlug                                     0x01007744   13
CN3CPlugBase                                 0x0100777C   12
CN3CPlug_Cloak                               0x0100770C   13
CN3Camera                                    0x010073E0   17
CN3Chr                                       0x01007684   19
CN3ChrTypePlug                               0x010076D4   13
CN3Cloud                                     0x01007804   4
CN3FXBundle                                  0x01008008   11
CN3FXBundleGame                              0x0101CA58   11
CN3FXPMesh                                   0x0100824C   8
CN3FXPartBase                                0x01008040   21
CN3FXPartBillBoard                           0x01008098   21
CN3FXPartBillBoardGame                       0x0101CA88   21
CN3FXPartBottomBoard                         0x010080F0   21
CN3FXPartBottomBoardGame                     0x0101CB5C   21
CN3FXPartMesh                                0x01008154   21
CN3FXPartParticles                           0x010081AC   21
CN3FXPlug                                    0x01008204   8
CN3FXPlugPart                                0x01008228   8
CN3FXSPart                                   0x010082CC   8
CN3FXShape                                   0x0100827C   19
CN3Flag                                      0x01007D40   17
CN3FlagMgr                                   0x0101CA34   8
CN3FlashWindow                               0x01007F88   31
CN3FlashWindow                               0x01007F60   9
CN3GEFlower                                  0x01008338   21
CN3GERain                                    0x01008390   21
CN3GESnow                                    0x010083F8   21
CN3GlobalEffect                              0x01008450   21
CN3IMesh                                     0x010084E4   9
CN3Joint                                     0x0100850C   17
CN3Light                                     0x01008554   17
CN3Mesh                                      0x01008618   8
CN3PMesh                                     0x010087A4   8
CN3Pond                                      0x01008820   8
CN3PostProcess                               0x010089BC   8
CN3River                                     0x010089FC   3
CN3SPart                                     0x01008B14   8
CN3Scene                                     0x01008A38   8
CN3SceneExtra                                0x01008A5C   8
CN3Shape                                     0x01008AC0   20
CN3ShapeExtra                                0x01008B38   20
CN3ShapeMgr                                  0x01008C44   8
CN3Skin                                      0x01008C68   9
CN3Sky                                       0x01008C90   4
CN3SkyMng                                    0x01008D08   8
CN3Star                                      0x0100902C   4
CN3Terrain                                   0x0101CF14   8
CN3TerrainManager                            0x0101CFF0   64
CN3Texture                                   0x01009358   8
CN3Transform                                 0x0100937C   17
CN3TransformCollision                        0x010093C4   19
CN3UIArea                                    0x01009438   52
CN3UIBase                                    0x0100950C   52
CN3UIButton                                  0x010095E0   53
CN3UIDBCLButton                              0x0101D16C   57
CN3UIEdit                                    0x010096E4   55
CN3UIFlash                                   0x010097CC   52
CN3UIGradualProgress                         0x010098A0   56
CN3UIIcon                                    0x0101D574   57
CN3UIImage                                   0x01009984   57
CN3UIList                                    0x01009A78   53
CN3UINode                                    0x01009B50   52
CN3UIProgress                                0x01009C24   56
CN3UIScrollBar                               0x01009D08   52
CN3UIStatic                                  0x01009DDC   54
CN3UIString                                  0x01009EC8   57
CN3UITooltip                                 0x01009FB8   54
CN3UITrackBar                                0x0100A094   52
CN3UITree                                    0x0100A168   52
CN3UIWndBase                                 0x0101D6B0   67
CN3VMesh                                     0x0100A270   8
CN3WorldBase                                 0x0101D7C0   64
CPlayerBase                                  0x0101E018   31
CPlayerMySelf                                0x0101E31C   31
CPlayerNPC                                   0x0101E39C   31
CPlayerOther                                 0x0101E478   31
CPlayerPat                                   0x0101E5AC   31
CSkillImage                                  0x010269A4   57
CUIAccessoryReturn                           0x0101F0E8   67
CUIAchieveMenu                               0x0101FA38   52
CUIAchievementMini                           0x0101F260   52
CUIAchievementTime                           0x0101F698   52
CUIAchievementTitle                          0x0101F870   52
CUIAchievements                              0x0101F4F0   52
CUIAchievmentComplete                        0x0101F5C4   52
CUIAngerSkillGage                            0x0101FB50   52
CUIAttendanceCheck                           0x0101FD80   52
CUIAuction                                   0x0101FE64   52
CUIAuctionRegister                           0x01020070   67
CUIAuctionRegisterMSG                        0x010201D8   52
CUIBattleRoyalJoinBoard                      0x01020328   52
CUIBattleRoyalScoreBoard                     0x0100AFCC   52
CUIBlackListCapture                          0x01020724   52
CUIBlog                                      0x01020898   52
CUIBoard_Roulette                            0x01020BD8   52
CUIBountList                                 0x01021020   52
CUIBountList_m                               0x01020F4C   52
CUIBountyPaper                               0x010210FC   52
CUIBuffer                                    0x01021214   52
CUIBuyStoreFind                              0x01021624   52
CUIBuyStoreIndex                             0x01021770   52
CUIBuyStoreInven                             0x010218A8   52
CUICaptcha                                   0x01021A34   52
CUICaptcha_Talk                              0x0100BC70   52
CUICapture                                   0x01021BDC   52
CUICaptureTime                               0x01021CBC   52
CUICashCharge                                0x01021D90   52
CUICashPRBoard                               0x0100CFC4   52
CUICashTooltip                               0x0100DDC0   52
CUICashWareHouse                             0x01021F84   67
CUIChangeID                                  0x010220C0   52
CUIChangeID_Intro                            0x010221F8   52
CUIChangeID_Result                           0x010222D4   52
CUIChangeRace                                0x010224C8   52
CUIChange_ID_Check                           0x010225A4   52
CUIChaosCaption                              0x01022698   52
CUIChaosSkillTreeDlg                         0x010227FC   67
CUICharacterCreate                           0x01022F28   52
CUICharacterDelete                           0x0100BEA8   67
CUICharacterDeleteMessageBox                 0x0100BFDC   52
CUICharacterIndexChange                      0x01023054   52
CUICharacterMakeHair                         0x01023180   52
CUICharacterSeal                             0x010232E4   52
CUICharacterSelect                           0x01023434   52
CUIChat                                      0x010239A0   52
CUIChatRoomCreat                             0x01023AB8   52
CUIChatRoomIn                                0x01023BA8   52
CUIChatRoomInBox                             0x01023CD0   52
CUIChatRoomMain                              0x01023F18   52
CUIChatRoomMinimenu                          0x0102402C   52
CUIChatSmall                                 0x01024100   52
CUICheckBlock                                0x01024240   52
CUIChrSealTooltip                            0x010243C0   52
CUIChrSealTrans                              0x010244A4   52
CUIClan                                      0x0103FDE0   52
CUIClanBBS                                   0x01024738   52
CUIClanBreak                                 0x01024860   52
CUIClanJoinList                              0x010249E4   52
CUIClanLadderPointList                       0x01024E98   52
CUIClanMessage                               0x01024B88   52
CUIClanPoint                                 0x01024C9C   52
CUIClanPointListOrSave                       0x01024D7C   52
CUIClanPointSaveList                         0x01024F6C   52
CUIClanWindow                                0x01025414   52
CUIClassChange                               0x0102553C   52
CUICloakPalette                              0x01025650   52
