
---

# 📋 **STELLBOX v2.0 - PROFESSIONAL ÖZELLİK LİSTESİ**

---

## 🏗️ **1. SİSTEM MİMARİSİ & ALTYAPI**

| # | Özellik | Açıklama | Teknoloji |
|---|---------|----------|-----------|
| 1.1 | **Modüler Servis Mimarisi** | Tüm bileşenler bağımsız servisler olarak çalışır | .NET 8.0 |
| 1.2 | **SignalR Gerçek Zamanlı İletişim** | Web UI ile anlık veri akışı | SignalR |
| 1.3 | **Kernel Seviyesi Bellek Erişimi** | Driver ile doğrudan bellek okuma/yazma | C Driver |
| 1.4 | **Web Tabanlı Kontrol Paneli** | Tarayıcı üzerinden tam kontrol | HTML5/CSS3/JS |
| 1.5 | **RESTful API** | Harici uygulamalar için API desteği | ASP.NET Core |
| 1.6 | **Çoklu Dil Desteği** | Türkçe, İngilizce, Almanca | Resource Files |
| 1.7 | **Otonom Güncelleme Sistemi** | Kendi kendini güncelleyen yapı | AutoUpdate Service |
| 1.8 | **Hata Yönetimi & Loglama** | Detaylı hata kaydı ve izleme | Serilog |

---

## 🛡️ **2. GÜVENLİK & GİZLİLİK**

| # | Özellik | Açıklama | Öncelik |
|---|---------|----------|---------|
| 2.1 | **XinCode3 Tam Bypass** | xhunter1.sys, xhc.sys, XignCode3.exe tamamen atlatma | ⭐⭐⭐⭐⭐ |
| 2.2 | **Process Hiding** | STELLBOX process'ini sistemden gizleme | ⭐⭐⭐⭐⭐ |
| 2.3 | **Window Hiding** | Tüm pencereleri EnumWindows'tan gizleme | ⭐⭐⭐⭐⭐ |
| 2.4 | **Module Tampering Protection** | DLL injection tespitine karşı koruma | ⭐⭐⭐⭐⭐ |
| 2.5 | **API Hook Detection & Cleaning** | IAT/EAT/Inline hook temizleme | ⭐⭐⭐⭐⭐ |
| 2.6 | **Anti-Debug** | Debugger, breakpoint, hardware BP tespiti | ⭐⭐⭐⭐⭐ |
| 2.7 | **Call-Stack Integrity** | ROP gadget ve return address kontrolü | ⭐⭐⭐⭐ |
| 2.8 | **Memory Read Protection** | PAGE_NOACCESS ile kritik bölgeleri koruma | ⭐⭐⭐⭐⭐ |
| 2.9 | **xhc.sys Communication Blocker** | xhunter1.sys sunucu iletişimini engelleme | ⭐⭐⭐⭐⭐ |
| 2.10 | **Recent Programs Evasion** | MRU, UserAssist, JumpList temizleme | ⭐⭐⭐⭐ |
| 2.11 | **Kernel Seviyesi Bellek Şifreleme** | Bot state'ini AES-256 ile şifreleme | ⭐⭐⭐⭐⭐ |
| 2.12 | **Smart Escape System** | Tehlike anında otomatik kaçış ve saklanma | ⭐⭐⭐⭐⭐ |
| 2.13 | **RSA-2048 Lisans Sistemi** | Güvenli serial key doğrulama | ⭐⭐⭐⭐⭐ |
| 2.14 | **Hardware ID Binding** | Lisansın donanıma bağlanması | ⭐⭐⭐⭐ |
| 2.15 | **Sanal Makine Tespiti** | VM'de çalıştığını anlayıp gizlenme | ⭐⭐⭐⭐ |
